quote,author,book
"When no buyers were near, he talked to me earnestly to impress upon me how valuable work would be to me in the future: 'Some men hate it. They make it their enemy. Better to treat it like a friend, make thyself like it. Don't mind because it is hard. If thou thinkest about what a good house thou build, then who cares if the beams are heavy and it is far from the well to carry the water for the plaster. Promise me, boy, if thou get a master, work for him as hard as thou canst. If he does not appreciate all thou do, never mind. Remember, work, well-done, does good to the man who does it. It makes him a better man.
","George S. Clason,
",The Richest Man in Babylon
"Good luck can be enticed by accepting opportunity.
","George S. Clason,
",The Richest Man in Babylon
"        "".
","George S. Clason,
",The Richest Man in Babylon
"How can you call yourself a free man when your weakness has brought you to this? If a man has in himself the soul of a slave will he not become one no matter what his birth, even as water seeks its level? If a man has within him the soul of a free man, will he not become respected and honored in his own city in spite of his misfortune?
","George S. Clason,
",The Richest Man in Babylon
"THE FIVE LAWS OF GOLD I. Gold cometh gladly and in increasing quantity to any man who will put by not less than one-tenth of his earngs to create an estate for his future and that of his family. II. Gold laboreth diligently and contentedly for the wise owner who finds for it profitable employment, multiplying even as the flocks of the field. III. Gold clingeth to the protection of the cautious owner who invests it under the advice of men wise in its handling. IV. Gold slippeth away from the man who invests it in businesses or purposes with which he is not familiar or which are not approved by those skilled in its keep. V. Gold flees the man who would force it to impossible earnings or who followeth the alluring advice of tricksters and schemers or who trusts it to his own inexperience and romantic desires in investment.
","George S. Clason,
",The Richest Man in Babylon
"The man who became of his understanding of the laws of wealth, acquireth a growing surplus, should give thought to those future days. He should plan certain investments or provisions that may endure safely for many years, yet will be available when the time arrives which he has so wisely anticipated.
","George S. Clason,
",The Richest Man in Babylon
"Wealth, like a tree, grows from a tiny seed. The first copper you save is the seed from which your tree of wealth shall grow. The sooner you plant that seed the sooner shall the tree grow. And the more faithfully you nourish and water that tree with consistent savings, the sooner may you bask in contentment beneath its shade.
","George S. Clason,
",The Richest Man in Babylon
"     .               .             
","George S. Clason,
",The Richest Man in Babylon
                         .,"George S. Clason,
",The Richest Man in Babylon
"        
","George S. Clason,
",The Richest Man in Babylon
"But too often does youth think that age knows only the wisdom of days that are gone, and therefore profits not. But remember this; the sun that shines today is the sun that shone when thy father was born, and will still be shining when thy last grandchild shall pass into the darkness.
","George S. Clason,
",The Richest Man in Babylon: With Study Guide
"       
","George S. Clason,
",The Richest Man in Babylon
"                                                  
","George S. Clason,
",The Richest Man in Babylon
"          
","George S. Clason,
",The Richest Man in Babylon
"We found water. We passed into a more fertile country where were grass and fruit. We found the trail to Babylon because the soul of a free man looks at life as a series of problems to be solved and solves them, while the soul of a slave whines, 'What can I do who am but a slave?
","George S. Clason,
",The Richest Man in Babylon
"Whatever your income, always live below your means.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Good health, longevity, happiness, a loving family, self-reliance, fine friends  if you [have] five, youre a rich man.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"I am not impressed with what people own. But Im impressed with what they achieve. Im proud to be a physician. Always strive to be the best in your field. Dont chase money. If you are the best in your field, money will find you.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Wealth is more often the result of a lifestyle of hard work, perseverance, planning, and, most of all, self-discipline.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Many people who live in expensive homes and drive luxury cars do not actually have much wealth. Then, we discovered something even odder: Many people who have a great deal of wealth do not even live in upscale neighborhoods.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Its easier to accumulate wealth if you dont live in a high-status neighborhood.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"One of the reasons that millionaires are economically successful is that they think differently.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"If youre not yet wealthy but want to be someday, never purchase a home that requires a mortgage that is more than twice your households total annual realized income.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Money should never change ones values. Making money is only a report card. Its a way to tell how youre doing.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"If your goal is to become financially secure, youll likely attain it. But if your motive is to make money to spend money on the good life, youre never gonna make it.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"The foundation stone of wealth accumulation is defense, and this defense should be anchored by budgeting and planning.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Multiply your age times your realized pretax annual household income from all sources except inheritances. Divide by ten. This, less any inherited wealth, is what your net worth should be.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"it matters less how much more you make than what you do with what you already have.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Great offense and poor defense translate into under accumulation of wealth.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Be tough  life is. In other words, there is no promise of a rose garden.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Have you ever noticed those people whom you see jogging day after day? They are the ones who seem not to need to jog. But thats why they are fit. Those who are wealthy work at staying financially fit. But those who are not financially fit do little to change their status.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"How can well-educated, high-income people be so naive about money? Because being a well-educated, high-income earner does not automatically translate into financial independence. It takes planning and sacrificing.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Most people will never become wealthy in one generation if they are married to people who are wasteful. A couple cannot accumulate wealth if one of its members is a hyperconsumer.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"To build wealth, minimize your realized (taxable) income and maximize your unrealized income (wealth/capital appreciation without a cash flow).
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"it is very difficult for a married couple to accumulate wealth if one is a spendthrift. A household divided in its financial orientation is unlikely to accumulate significant wealth.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"His view of millionaires is shared by most people who are not wealthy. They think millionaires own expensive clothes, watches, and other status artifacts. We have found this is not the case.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Financially independent people are happier than those in their same income/age cohort who are not financially secure.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"our youth are told that buying expensive items is normal behavior for affluent people. They are led to believe that the wealthy have a high-consumption lifestyle. They learn that hyperspending is the main reward for becoming affluent in America. Why
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"The some college, four-year college graduate, and no college types who have high incomes often had a head start on many well-educated workers.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Wealth is not the same as income. If you make a good income each year and spend it all, you are not getting wealthier. You are just living high. Wealth is what you accumulate, not what you spend.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Allocating time and money in the pursuit of looking superior often has a predictable outcome: inferior economic achievement. What are three words that profile the affluent? FRUGAL FRUGAL FRUGAL
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"According to our most recent survey, the typical American millionaire reported that he (she) never spent more than $399 for a suit of clothing for himself or for anyone else.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"If you make a good income each year and spend it all, you are not getting wealthier. You are just living high. Wealth is what you accumulate, not what you spend.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Victor wants his children to become physicians, lawyers, accountants, executives, and so on. But in so encouraging them, Victor essentially discourages his children from becoming entrepreneurs. He unknowingly encourages them to postpone their entry into the labor market. And, of course, he encourages them to reject his lifestyle of thrift and a self-imposed environment of scarcity.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"Its amazing what you can do when you set your mind to it. Youll be surprised how many sales calls you can make when you have no alternative except to succeed.
","Thomas J. Stanley,
",The Millionaire Next Door: The Surprising Secrets of America's Wealthy
"In school we learn that mistakes are bad, and we are punished for making them. Yet, if you look at the way humans are designed to learn, we learn by making mistakes. We learn to walk by falling down. If we never fell down, we would never walk.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"Winners are not afraid of losing. But losers are. Failure is part of the process of success. People who avoid failure also avoid success.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"Youre only poor if you give up. The most important thing is that you did something. Most people only talk and dream of getting rich. Youve done something.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"If youre the kind of person who has no guts, you just give up every time life pushes you. If youre that kind of person, youll live all your life playing it safe, doing the right things, saving yourself for something that never happens. Then, you die a boring old man.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"The love of money is the root of all evil.""","Robert Kiyosaki,
","Rich Dad, Poor Dad: What the Rich Teach Their Children About Money That the Poor and Middle Class Don't"
"Emotions are what make us human. Make us real. The word 'emotion' stands for energy in motion. Be truthful about your emotions, and use your mind and emotions in your favor, not against yourself.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"Id rather welcome change than cling to the past.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"The single most powerful asset we all have is our mind. If it is trained well, it can create enormous wealth in what seems to be an instant.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"If you realize that you're the problem, then you can change yourself, learn something and grow wiser. Don't blame other people for your problems.
","Robert Kiyosaki,
","Rich Dad, Poor Dad"
"Workers work hard enough to not be fired, and owners pay just enough so that workers won't quit.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"I like Texas and Texans. In Texas, everything is bigger. When Texans win, they win big. And when they lose, it's spectacular.","Robert Kiyosaki,
","Rich Dad, Poor Dad: What the Rich Teach Their Children About Money That the Poor and Middle Class Don't"
"As I said, I wish I could say it was easy. It wasn't, but it wasn't hard either. But without a strong reason or purpose, anything in life is hard. 
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"I am concerned that too many people are focused too much on money and not on their greatest wealth, which is their education. If people are prepared to be flexible, keep an open mind and learn, they will grow richer and richer through the changes. If they think money will solve the problems, I am afraid those people will have a rough ride. Intelligence solves problems and produces money. Money without financial intelligence is money soon gone.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"To know a little about a lot.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"It is said that the fear of public speaking is a fear greater than death for most people. According to psychiatrists, the fear of public speaking is caused by the fear of ostracism, the fear of standing out, the fear of criticism, the fear of ridicule, the fear of being an outcast. THE FEAR OF BEING DIFFERENT PREVENTS MOST PEOPLE FROM SEEKING NEW WAYS TO SOLVE THEIR PROBLEMS.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"Whenever you feel short or in need of something, give what you want first and it will come back in buckets. That is true for money, a smile, love, friendship. I know it is often the last thing a person may want to do, but it has always worked for me. I just trust that the principle of reciprocity is true, and I give what I want.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"I find so many people struggling, often working harder, simply because they cling to old ideas. They want things to be the way they were; they resist change. I know people who are losing their jobs or their houses, and they blame technology or the","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"We all have tremendous potential, and we all are blessed with gifts. Yet, the one thing that holds all of us back is some degree of self-doubt. It is not so much the lack of technical information that holds us back, but more the lack of self-confidence.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"There is a difference between being poor and being broke. Broke is temporary. Poor is eternal.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"In the real world outside of academics, something more than just grades is","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"Stop blaming me, thinking I'm the problem. If you think I'm the problem, then you have to change me. If you realize that you're the problem, then you can change yourself, learn something and grow wiser. Most people want everyone else in the world to change themselves. Let me tell you, it's easier to change yourself than everyone else.
","Robert Kiyosaki,
","Rich Dad, Poor Dad"
Just know that its fear that keeps most people working at a job. The fear of not paying their bills. The fear of being fired. The fear of not having enough money. the fear of starting over.,"Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"Learn to use your emotions to think, not think with your emotions.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"Excessive fear and self-doubt that were the greatest detractors of personal genius.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"         
"," -,
",   
"I can't afford it' shut down your brain. it didn't have to think anymore. besides, it also brings up sadness. a helplessness that leads to despondency and often depression.","Robert Kiyosaki,
",Rich Dad Poor Dad: What  the Rich Teach Their Kids about Moneythat the Poor and the Middle Class Do Not!
"Most people fail to realize that in life, its not how much money you make, its how much money you keep.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"If fear is too strong, the genius is suppressed
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"Leadership is what you need to learn next
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"The poor and the middle class work for money. The rich have money work for them.
","Robert T. Kiyosaki,
","Rich Dad, Poor Dad"
"Heroes are heroes because they are heroic in behavior, not because they won or lost.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"Reality is far more vicious than Russian roulette. First, it delivers the fatal bullet rather infrequently, like a revolver that would have hundreds, even thousands of chambers instead of six. After a few dozen tries, one forgets about the existence of a bullet, under a numbing false sense of security. Second, unlike a well-defined precise game like Russian roulette, where the risks are visible to anyone capable of multiplying and dividing by six, one does not observe the barrel of reality. One is capable of unwittingly playing Russian roulette - and calling it by some alternative low risk game.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"Probability is not a mere computation of odds on the dice or more complicated variants; it is the acceptance of the lack of certainty in our knowledge and the development of methods for dealing with our ignorance.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"Those who were unlucky in life in spite of their skills would eventually rise. The lucky fool might have benefited from some luck in life; over the longer run he would slowly converge to the state of a less-lucky idiot. Each one would revert to his long-term properties.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"A mistake is not something to be determined after the fact, but in light of the information available until that point
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"No matter how sophisticated our choices, how good we are at dominating the odds, randomness will have the last word.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"Never ask a man if he is from Sparta: If he were, he would have let you know such an important fact - and if he were not, you could hurt his feelings.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"We favor the visible, the embedded, the personal, the narrated, and the tangible; we scorn the abstract.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"When things go our way we reject the lack of certainty.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"My lesson from Soros is to start every meeting at my boutique by convincing everyone that we are a bunch of idiots who know nothing and are mistake-prone, but happen to be endowed with the rare privilege of knowing it.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"Mild success can be explainable by skills and labor. Wild success is attributable to variance.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"The epiphany I had in my career in randomness came when I understood that I was not intelligent enough, nor strong enough, to even try to fight my emotions.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"If the past, by bringing surprises, did not resemble the past previous to it (what I call the past's past), then why should our future resemble our current past?
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"Bullish or bearish are terms used by people who do not engage in practicing uncertainty, like the television commentators, or those who have no experience in handling risk. Alas, investors and businesses are not paid in probabilities; they are paid in dollars. Accordingly, it is not how likely an event is to happen that matters, it is how much is made when it happens that should be the consideration.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"Mathematics is principally a tool to meditate, rather than to compute.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"The observation of the numerous misfortunes that attend all conditions forbids us to grow insolent upon our present enjoyments, or to admire a man's happiness that may yet, in course of time, suffer change. For the uncertain future has yet to come, with all variety of future; and to him only to whom the divinity has [guaranteed] continued happiness until the end we may call happy.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"The problem with information is not that it is diverting and generally useless, but that it is toxic.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"People do not realize that the media is paid to get your attention. For a journalist, silence rarely surpasses any word.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"It certainly takes bravery to remain skeptical; it takes inordinate courage to introspect, to confront oneself, to accept one's limitations--Scientists are seeing more and more evidence that we are specifically designed by mother nature to fool ourselves.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"Too much success is the enemy, too much failure is demoralizing.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"Clearly, an open mind is a necessity when dealing with randomness. Popper believed that any idea of Utopia is necessarily closed owing to the fact that it chokes its own refutations. The simple notion of a good model for society that cannot be left open for falsification is totalitarian. I learned from Popper, in addition to the difference between an open and a closed society, that between an open and a closed mind.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"People overvalue their knowledge and underestimate the probability of their being wrong.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"The only article Lady Fortuna has no control over is your behavior. Good luck.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"I will set aside the point that I see no special heroism in accumulating money, particularly if, in addition, the person is foolish enough to not even try to derive any tangible benefit from the wealth (aside from the pleasure of regularly counting the beans).
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
"There is asymmetry. Those who die do so very early in the game, while those who live go on living very long. Whenever there is asymmetry in outcomes, the average survival has nothing to do with the median survival.
","Nassim Nicholas Taleb,
",Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets
